i18n=>,KR,TW,JP,US,CN
mark_price_selects_real_time,"코인베이스, 비트스탬프, 크라켄 거래평균시세",標記價格選取 Coinbase、Bitstamp、Kraken（三大受美國證監會監管交易所）的實時成交價,標記価額コインベース、ビットスタンプ、クラーケンを選ぶ(米国証券取引委員会SEC),,标记价格选取 Coinbase、Bitstamp、Kraken（三大受美国证监会监管交易所）的实时成交价
market_depth_no_one,마켓뎁스 사용량 1위,市場深度中國第一,マーケットの深みは中国ナンバーワン,,市场深度中国第一
according_latest_statistics,최근 측정된 데이터에서 바이빗은 가상자산 마켓뎁스가 순위권 3위안에 등재되었다.,根據最新統計數據，Bybit的平均前三個檔位盤口深度已遠超中國市場平均深度水準,最新の統計によるとBybitは最初三ヶ月の平均ハンディキャップが中国マーケット平均レベルを超えました,,根据最新统计数据，Bybit的平均前三个档位盘口深度已远超中国市场平均深度水准
flexible_leverage,격리마진,彈性槓桿,弾力レバレッジ,,弹性槓杆
which_long_term_investment,"100배 레버리지 제공, 무기한 계약을 통한 거래지속성",提供1至100倍槓桿，且為永續合約，可長線投資,1から100倍までのレバレッジを提供し、協力は永続的なので長期投資ができます,,提供1至100倍槓杆，且为永续合约，可长线投资
top_allocation_fund_security_system,안전성호환모듈,頂配的資金安全體系,最高のセキュリティエコシステム,,顶配的资金安全体系
platform_builds_industry_advanced,플랫폼 레이어 구축,平台自建業內最領先的分層確定性冷錢包體系,業界で最も先進的な階層化されたコールドウォレットシステム,,平台自建业内最领先的分层确定性冷钱包体系
intelligent_ordering_system_support,스마트컨트랙 전송시스템,智能下單系統支持,知能注文システムを支え,,智能下单系统支持
set_profit_stop_loss_trailing,인터페이스 없이 자동 포지션 지정가 손절/역지정 설정가능,入場時直接設置止盈/止損及追踪止損，無需時刻盯盤,寄り付き前に利益確保/損切りと損切りの追跡を直接設置できるので板をじっと見なくでも安心,,入场时直接设置止盈/止损及追踪止损，无需时刻盯盘
flexible_fund_allocation,풍부한 자금유동성,資金調配靈活,資金移動をスムーズ,,资金调配灵活
no_minimum_transaction_amount,최소한도금액 없이 투자가능,無交易金額下限，即使資金不足也有機會投資,取引の最少額がありませんので、資金不足にも投資なチャンスがあります,,无交易金额下限，即使资金不足也有机会投资
become_member_fdb,FDB 유저 등록 시,成為返多寶會員,FDBの会員になる,,成为返多宝会员
return_fdb_subsidize,FDB 가입보너스 및 수수료 절감가능,返多寶再補貼給您交易手續費,FDBがまた取引手数料を補助してくれます,,返多宝再补贴给您交易手续费
only_thing_reduce_transaction_costs,FDB를 통해 절감된 거래수수료 제공,為您降低交易成本的只有「返多寶」,お客様の取引コストを減らすのはFDBだけ,,为您降低交易成本的只有「返多宝」
enter_number_slot,{number}자리 이상의 영문 및 숫자를 입력하세요,請輸入{number}位數以上英數字,{number}文字以上半角英数字を入力してください,,请输入{number}位数以上英数字
enter_en_number,영문과 숫자를 포함하여 {number}자리 이상이여야 합니다,輸入{number}位數以上，含英數字,{number}文字以上半角英数字を入力してください,,输入{number}位数以上，含英数字
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
