i18n=>,TW,EN,KR,JP,CN
market_pulse,市場脈動,Market news,시장 맥박,市場動向,市场脉动
system_notification,系統公告,System notification,시스템 알림,システム通知,系统公告
fundobit_rebate,FunDoBit 返佣,FunDoBit rebate,FunDoBit 리베이트,FunDoBit リベート,FunDoBit 返佣
Invite_friends_rebate,邀請好友返佣,Rebate of inviting friends (Invite friends),친구를 리베이트에 초대,友人をリベートに招待する,邀请好友返佣
established_date,成立時間,Established date,확립된,設立,成立时间
interface_rate,介面評分,Interface rating,인터페이스 등급,インターフェース評価,介面评分
ratings_experience_click_process,依據使用經驗以及點擊流程給予評分,Ratings based on users' experience and clicks,경험 및 클릭 프로세스를 기반으로 등급 부여,経験とクリックプロセスに基づいて評価を与える,依据使用经验以及点击流程给予评分
credible_rate,可信評分,Credit rating,믿을 수 있는 점수,信頼できるスコア,可信评分
score_transaction_volume,依據交易量、成立時間、錢包架構給予評分,"Rating of volume, founding time, wallet structure","거래량, 구축 시간, 지갑 구조에 따른 점수",取引量、開設時間、ウォレット構造に基づくスコア,依据交易量、成立时间、钱包架构给予评分
apply_account_open,申請開戶,Apply for account,계좌 개설 신청,口座開設を申し込む,申请开户
volume_distribution,交易量分佈,Volume distribution,부피 분포,ボリューム分布,交易量分布
volume_based_market_match,根據市場匹配確定的交易量,Volume by matching market,시장 일치에 따른 거래량,マーケット マッチに基づくボリューム,根据市场匹配确定的交易量
volume_by_currency,根據貨幣排列的交易量,Volume by currency,통화별 거래량,通貨別出来高,根据货币排列的交易量
first_rebate_platform,幣圈第一返佣平台,The first rebate platform in crypto world,화폐계 최초의 리베이트 플랫폼,通貨界初のリベートプラットフォーム,币圈第一返佣平台
no_matter_where_in_market,無論您身在市場何處，不論投資獲利或失敗FunDoBIit 始終如一，返佣給您,"Whether your investment is profitable or unprofitable, FunDo is always rebating","시장의 어디에 있든, 투자의 수익성 여부와 관계없이 FunDoBIit은 항상 동일하며 귀하에게 보상합니다.",市場のどこにいても、投資が利益を上げているか失敗しているかに関係なく、FundDoBIit は常に同じであり、あなたに報酬を与えます,无论您身在市场何处，不论投资获利或失败FunDoBIit 始终如一，返佣给您
go_to_register,前往註冊,Go to register,등록하러 가다,登録に行く,前往注册
enter_keywords,輸入關鍵字,Keyword entering,키워드 입력,キーワードを入力します,输入关键字
established_at,成立於 {date},Eastablished on {date},{date}에 설립됨,{date}に設立,成立于 {date}
understand_more,了解更多,Understand more,더 이해,もっと理解する,了解更多
account_opening_teaching,開戶教學,Opening account guide,계좌 개설 교육,口座開設指導,开户教学
sign_now,立即註冊,Register now,지금 등록하세요,今すぐサインアップ,立即注册
explore_more_articles,挖掘更多你想看的文章,Explore more articles,읽고 싶은 더 많은 기사 탐색,読みたい記事をもっと探す,挖掘更多你想看的文章
what_is_problem,您好，請問遇到什麼問題？,What's your question,"안녕하세요, 무엇이 문제입니까?",こんにちは、何が問題ですか？,您好，请问遇到什么问题？
keep_know_current_market,時刻掌握市場現況，不怕流失交易時機,"Keep knowing market, won´t lose opportunities",현재 시장 상황을 파악하고 거래 기회를 잃는 것을 두려워하지 마십시오.,現在の市場状況に遅れないようにして、取引機会を失うことを恐れないでください,时刻掌握市场现况，不怕流失交易时机
provides_exclusive_articles,FUNDOBIT 提供專屬文章，讓你隨時掌握近況,FUNDOBIT provides exclusive articles to keep you updated,FUNDOBIT은 최신 정보를 제공하는 독점 기사를 제공합니다.,FUNDOBITは最新情報をお届けする独占記事を提供しています,FUNDOBIT 提供专属文章，让你随时掌握近况
chat_room,聊天室,Chat room,채팅방,チャットルーム,聊天室
teacher_presentation,師資介紹,Teacher,교사 발표,教師によるプレゼンテーション,师资介绍
teach_point,教學重點,Highlight,교육 초점,教育の焦点,教学重点
more_courses,更多教學,More learning,더 많은 가르침,もっと教える,更多教学
exclusive_news_center,FUNDOBIT 獨家消息中心,FUNDOBIT exclusive news,FUNDOBIT 독점 뉴스 센터,FUNDOBIT専用ニュースセンター,FUNDOBIT 独家消息中心
news_stays_with_you,消息不離身，讓你時刻都能接收幣圈資訊,"News stays with, so that always receive crypto info","뉴스는 당신과 함께, 당신은 항상 통화 서클 정보를받을 수 있습니다",ニュースはあなたのそばにあるので、いつでも通貨サークル情報を受け取ることができます,消息不离身，让你时刻都能接收币圈资讯
google_register,google 註冊也請直接填寫,Please also fill in directly for Google,Google 등록을 위해 직접 작성하십시오.,Google登録も直接ご記入ください,google 注册也请直接填写
